sp,sex,FL,RW,CL,CW,BD,ratio
B,F,15.3,14.2,32.6,38.3,13.8,0.46932515337423314
B,F,15.4,13.3,32.4,37.6,13.8,0.4753086419753087
B,F,15.5,13.8,33.4,38.7,14.7,0.46407185628742514
B,F,15.6,13.9,32.8,37.9,13.4,0.475609756097561
B,F,15.6,14.7,33.9,39.5,14.3,0.46017699115044247
B,F,15.7,13.9,33.6,38.5,14.1,0.4672619047619047
B,F,15.8,15.0,34.5,40.3,15.3,0.4579710144927536
B,F,16.2,15.2,34.5,40.1,13.9,0.4695652173913043
B,F,16.4,14.0,34.2,39.8,15.2,0.47953216374269
B,F,16.7,16.1,36.6,41.9,15.4,0.45628415300546443
B,F,17.4,16.9,38.2,44.1,16.6,0.4554973821989528
B,F,17.5,16.7,38.6,44.5,17.0,0.4533678756476684
B,F,19.2,16.5,40.9,47.9,18.1,0.46943765281173594
O,M,9.1,6.9,16.7,18.6,7.4,0.5449101796407185
O,M,10.2,8.2,20.2,22.2,9.0,0.504950495049505
O,M,10.7,8.6,20.7,22.7,9.2,0.5169082125603864
O,M,11.4,9.0,22.7,24.8,10.1,0.5022026431718062
O,M,12.5,9.4,23.2,26.0,10.8,0.5387931034482759
O,M,12.5,9.4,24.2,27.0,11.2,0.5165289256198348
O,M,12.7,10.4,26.0,28.8,12.1,0.48846153846153845
O,M,13.2,11.0,27.1,30.4,12.2,0.48708487084870844
O,M,13.4,10.1,26.6,29.6,12.0,0.5037593984962406
O,M,13.7,11.0,27.5,30.5,12.2,0.49818181818181817
O,M,14.0,11.5,29.2,32.2,13.1,0.4794520547945206
O,M,14.1,10.4,28.9,31.8,13.5,0.4878892733564014
O,M,14.1,10.5,29.1,31.6,13.1,0.48453608247422675
O,M,14.1,10.7,28.7,31.9,13.3,0.4912891986062718
O,M,14.2,10.6,28.7,31.7,12.9,0.49477351916376305
O,M,14.2,10.7,27.8,30.9,12.7,0.5107913669064748
O,M,14.2,11.3,29.2,32.2,13.5,0.4863013698630137
O,M,14.6,11.3,29.9,33.5,12.8,0.4882943143812709
O,M,14.7,11.1,29.0,32.1,13.1,0.506896551724138
O,M,15.1,11.4,30.2,33.3,14.0,0.5
O,M,15.1,11.5,30.9,34.0,13.9,0.4886731391585761
O,M,15.4,11.1,30.2,33.6,13.5,0.5099337748344371
O,M,15.7,12.2,31.7,34.2,14.2,0.4952681388012618
O,M,16.2,11.8,32.3,35.3,14.7,0.5015479876160991
O,M,16.3,11.6,31.6,34.2,14.5,0.5158227848101266
O,M,17.1,12.6,35.0,38.9,15.7,0.4885714285714286
O,M,17.4,12.8,36.1,39.5,16.2,0.48199445983379496
O,M,17.5,12.0,34.4,37.3,15.3,0.5087209302325582
O,M,17.5,12.7,34.6,38.4,16.1,0.5057803468208092
O,M,17.8,12.5,36.0,39.8,16.7,0.49444444444444446
O,M,17.9,12.9,36.9,40.9,16.5,0.48509485094850946
O,M,18.0,13.4,36.7,41.3,17.1,0.49046321525885556
O,M,18.2,13.7,38.8,42.7,17.2,0.4690721649484536
O,M,18.4,13.4,37.9,42.2,17.7,0.4854881266490765
O,M,18.6,13.4,37.8,41.9,17.3,0.49206349206349215
O,M,18.6,13.5,36.9,40.2,17.0,0.5040650406504066
O,M,18.8,13.4,37.2,41.1,17.5,0.5053763440860215
O,M,18.8,13.8,39.2,43.3,17.9,0.47959183673469385
O,M,19.4,14.1,39.1,43.2,17.8,0.49616368286445006
O,M,19.4,14.4,39.8,44.3,17.9,0.48743718592964824
O,M,20.1,13.7,40.6,44.5,18.0,0.49507389162561577
O,M,20.6,14.4,42.8,46.5,19.6,0.4813084112149533
O,M,21.0,15.0,42.9,47.2,19.4,0.48951048951048953
O,M,21.5,15.5,45.5,49.7,20.9,0.4725274725274725
O,M,21.6,15.4,45.7,49.7,20.6,0.4726477024070022
O,M,21.6,14.8,43.4,48.2,20.1,0.4976958525345623
O,M,21.9,15.7,45.4,51.0,21.1,0.48237885462555063
O,M,22.1,15.8,44.6,49.6,20.5,0.4955156950672646
O,M,23.0,16.8,47.2,52.1,21.5,0.4872881355932203
O,M,23.1,15.7,47.6,52.8,21.6,0.4852941176470588
O,F,10.7,9.7,21.4,24.0,9.8,0.5
O,F,11.4,9.2,21.7,24.1,9.7,0.5253456221198157
O,F,12.5,10.0,24.1,27.0,10.9,0.5186721991701244
O,F,12.6,11.5,25.0,28.1,11.5,0.504
O,F,12.9,11.2,25.8,29.1,11.9,0.5
O,F,14.0,11.9,27.0,31.4,12.6,0.5185185185185185
O,F,14.0,12.8,28.8,32.4,12.7,0.4861111111111111
O,F,14.3,12.2,28.1,31.8,12.5,0.5088967971530249
O,F,14.7,13.2,29.6,33.4,12.9,0.4966216216216216
O,F,14.9,13.0,30.0,33.7,13.3,0.4966666666666667
O,F,15.0,12.3,30.1,33.3,14.0,0.4983388704318937
O,F,15.6,13.5,31.2,35.1,14.1,0.5
O,F,15.6,14.0,31.6,35.3,13.8,0.49367088607594933
O,F,15.6,14.1,31.0,34.5,13.8,0.5032258064516129
O,F,15.7,13.6,31.0,34.8,13.8,0.5064516129032258
O,F,16.1,13.6,31.6,36.0,14.0,0.509493670886076
O,F,16.1,13.7,31.4,36.1,13.9,0.5127388535031848
O,F,16.2,14.0,31.6,35.6,13.7,0.5126582278481012
O,F,16.7,14.3,32.3,37.0,14.7,0.5170278637770898
O,F,17.1,14.5,33.1,37.2,14.6,0.5166163141993958
O,F,17.5,14.3,34.5,39.6,15.6,0.5072463768115942
O,F,17.5,14.4,34.5,39.0,16.0,0.5072463768115942
O,F,17.5,14.7,33.3,37.6,14.6,0.5255255255255256
O,F,17.6,14.0,34.0,38.6,15.5,0.5176470588235295
O,F,18.0,14.9,34.7,39.5,15.7,0.5187319884726225
O,F,18.0,16.3,37.9,43.0,17.2,0.474934036939314
O,F,18.3,15.7,35.1,40.5,16.1,0.5213675213675214
O,F,18.4,15.5,35.6,40.0,15.9,0.5168539325842696
O,F,18.4,15.7,36.5,41.6,16.4,0.5041095890410958
O,F,18.5,14.6,37.0,42.0,16.6,0.5
O,F,18.6,14.5,34.7,39.4,15.0,0.5360230547550432
O,F,18.8,15.2,35.8,40.5,16.6,0.5251396648044694
O,F,18.9,16.7,36.3,41.7,15.3,0.5206611570247934
O,F,19.1,16.0,37.8,42.3,16.8,0.5052910052910053
O,F,19.1,16.3,37.9,42.6,17.2,0.5039577836411611
O,F,19.7,16.7,39.9,43.6,18.2,0.49373433583959897
O,F,19.9,16.6,39.4,43.9,17.9,0.5050761421319797
O,F,19.9,17.9,40.1,46.4,17.9,0.4962593516209476
O,F,20.0,16.7,40.4,45.1,17.7,0.49504950495049505
O,F,20.1,17.2,39.8,44.1,18.6,0.5050251256281407
O,F,20.3,16.0,39.4,44.1,18.0,0.5152284263959391
O,F,20.5,17.5,40.0,45.5,19.2,0.5125
O,F,20.6,17.5,41.5,46.2,19.2,0.49638554216867475
O,F,20.9,16.5,39.9,44.7,17.5,0.5238095238095238
O,F,21.3,18.4,43.8,48.4,20.0,0.48630136986301375
O,F,21.4,18.0,41.2,46.2,18.7,0.5194174757281552
O,F,21.7,17.1,41.7,47.2,19.6,0.5203836930455635
O,F,21.9,17.2,42.6,47.4,19.5,0.5140845070422535
O,F,22.5,17.2,43.0,48.7,19.8,0.5232558139534884
O,F,23.1,20.2,46.2,52.5,21.1,0.5
